source_file,pmid,kind,rows,distinct_peptides,study_label
binding.parquet,19734234,binding,15521,4976,Ishizuka 2009 — T cell cross-reactivity assay (NOT MS)
binding.parquet,31611695,binding,9,7,Chen 2019 — MARIA computational tool (NOT MS)
binding.parquet,32716529,binding,104,104,Walters 2020 — HLA-E binding assay (NOT elution)
binding.parquet,32903714,binding,418890,69815,Wendorff 2020 — HLA-DP peptide microarray (NOT MS)
binding.parquet,33020145,binding,612,154,Ruibal 2020 — Qa-1/HLA-E cross-species binding (NOT elution)
binding.parquet,33203899,binding,69,69,Mbiribindi 2020 — HLA-E + EBV peptides (NOT elution)
binding.parquet,34535575,binding,31,31,Wang 2021 — brushtail possum MHC-I structure (NOT cellular IP)
binding.parquet,35296092,binding,5,4,Wei 2022 — pig SLA-I RPLD-MS (NOT cellular IP)
binding.parquet,35486722,binding,37232,9802,Obermair 2022 — MEDi display platform (NOT MS)
binding.parquet,35781135,binding,24,24,Huisman 2022 — yeast display MHC-II (NOT MS)
merged_deduped.tsv,19734234,binding,15499,4976,Ishizuka 2009 — T cell cross-reactivity assay (NOT MS)
merged_deduped.tsv,19734234,tcell,1176,588,Ishizuka 2009 — T cell cross-reactivity assay (NOT MS)
merged_deduped.tsv,31611695,binding,4539,3949,Chen 2019 — MARIA computational tool (NOT MS)
merged_deduped.tsv,32903714,binding,418890,69815,Wendorff 2020 — HLA-DP peptide microarray (NOT MS)
merged_deduped.tsv,33020145,binding,616,154,Ruibal 2020 — Qa-1/HLA-E cross-species binding (NOT elution)
merged_deduped.tsv,33203899,binding,69,69,Mbiribindi 2020 — HLA-E + EBV peptides (NOT elution)
merged_deduped.tsv,33705522,binding,12154,8212,Dai 2021 — ML method + yeast display (NOT MS)
merged_deduped.tsv,34535575,binding,5615,5614,Wang 2021 — brushtail possum MHC-I structure (NOT cellular IP)
merged_deduped.tsv,35296092,binding,12093,12008,Wei 2022 — pig SLA-I RPLD-MS (NOT cellular IP)
merged_deduped.tsv,35486722,binding,37232,9802,Obermair 2022 — MEDi display platform (NOT MS)
merged_deduped.tsv,35486722,tcell,11,11,Obermair 2022 — MEDi display platform (NOT MS)
merged_deduped.tsv,35781135,binding,6296,3786,Huisman 2022 — yeast display MHC-II (NOT MS)
observations.parquet,31611695,ms,3841,3143,Chen 2019 — MARIA computational tool (NOT MS)
observations.parquet,33020145,ms,4,2,Ruibal 2020 — Qa-1/HLA-E cross-species binding (NOT elution)
observations.parquet,33705522,ms,12154,8212,Dai 2021 — ML method + yeast display (NOT MS)
observations.parquet,34535575,ms,5584,5584,Wang 2021 — brushtail possum MHC-I structure (NOT cellular IP)
observations.parquet,35296092,ms,12491,12388,Wei 2022 — pig SLA-I RPLD-MS (NOT cellular IP)
observations.parquet,35781135,ms,6281,3774,Huisman 2022 — yeast display MHC-II (NOT MS)
